id,name_en,name_zh,team,league,year,g,pa,ab,h,2b,3b,hr,r,rbi,bb,ibb,hbp,so,avg,slg,obp,ops,sb,cs,sh,sf
d063268b-5a06-4e56-a0e6-ab52072c08a9,"Min-Hyeok Kim",NULL,斗山熊,KBO,2021,6,8,6,0,0,0,0,0,0,2,0,0,2,0.000,0.000,0.250,0.250,0,0,0,0
d7224460-11cd-4d57-8e81-494f7619cafc,"Ji-Hoon Park",NULL,斗山熊,KBO,2021,34,14,12,4,1,0,0,6,2,1,0,1,3,0.333,0.417,0.429,0.845,3,1,0,0
e57e896d-647e-4d8e-b63c-e7584ccb2900,"In-Tae Kim",NULL,斗山熊,KBO,2021,133,418,344,89,15,1,8,51,46,62,0,3,67,0.259,0.378,0.373,0.751,0,2,5,4
f082d785-ba39-4367-99fd-8a05cc6230a0,"Jae-Seok An",NULL,斗山熊,KBO,2021,96,224,200,51,8,2,2,28,14,16,0,4,53,0.255,0.345,0.317,0.662,1,0,0,4
fd60fbae-4b74-40eb-bcc0-60eba154dedc,"Min-Jae Jeon",NULL,斗山熊,KBO,2021,9,5,4,1,0,0,0,1,1,0,0,0,2,0.250,0.250,0.200,0.450,0,0,0,1
fecf3043-743b-4763-be25-0ea6bb4dfc5e,"Ye-Il Seo",NULL,斗山熊,KBO,2021,5,1,1,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0
0a14f1bf-37c1-4bd4-bf5a-f9f57f0b1a17,"Suk-Hyun Han",NULL,LG雙子,KBO,2021,16,26,21,6,2,1,0,5,1,3,0,1,7,0.286,0.476,0.385,0.861,2,0,0,1
22501db1-d966-4622-9a1c-c7717c49cee3,"Sang-Ho Lee",NULL,LG雙子,KBO,2021,45,68,65,20,2,0,0,5,12,1,0,0,10,0.308,0.339,0.318,0.657,2,1,2,0
26ea2f18-adec-489f-9482-479d70ba06d4,"Justin Bour","Justin Bour",LG雙子,KBO,2021,32,117,100,17,2,0,3,7,17,11,0,3,30,0.170,0.280,0.265,0.545,0,0,0,3
2a6b52de-52c9-4c46-b302-6610d4cafb71,"Bo-Gyeong Moon",NULL,LG雙子,KBO,2021,107,329,278,64,11,1,8,37,39,46,1,0,64,0.230,0.363,0.337,0.701,3,1,3,2
42e816c9-f032-405a-826d-793cb849804c,"Chun-Woong Lee",NULL,LG雙子,KBO,2021,68,211,181,36,7,0,2,20,16,25,0,3,23,0.199,0.271,0.305,0.576,3,2,1,1
440a9e12-014e-41bd-906d-d5f6558a9d60,"Jae-Seong Kim",NULL,LG雙子,KBO,2021,58,73,65,9,2,1,1,6,3,5,0,1,13,0.139,0.246,0.208,0.455,1,0,1,1
4758d7a4-5955-4779-95f4-4ff62b6bc355,"Ju-Hyoung Lee",NULL,LG雙子,KBO,2021,14,19,16,2,0,0,0,3,0,1,0,1,7,0.125,0.125,0.222,0.347,2,1,1,0
4a17c8ed-8db1-4916-a04c-e85f7409fdd1,"Roberto Ramos",NULL,LG雙子,KBO,2021,51,205,185,45,7,1,8,14,25,18,0,2,43,0.243,0.422,0.317,0.739,0,0,0,0
4c9baba6-d6a6-452d-b020-aa3495343ae3,"Sung-Ju Moon",NULL,LG雙子,KBO,2021,31,89,79,18,1,0,1,11,10,7,0,2,15,0.228,0.279,0.303,0.582,1,1,0,1
4cca9fcc-6bb5-4355-b3fa-965fe3629c51,"Kang-Nam Yoo",NULL,LG雙子,KBO,2021,130,441,397,100,16,0,11,39,60,25,1,14,75,0.252,0.375,0.317,0.693,2,0,3,2
55d19afe-518a-41f8-a7ec-b4513f23cd2f,"Ju-Hyeon Jung",NULL,LG雙子,KBO,2021,73,214,181,43,7,1,3,26,10,24,0,0,32,0.238,0.337,0.327,0.664,3,3,9,0
5d97cdc7-c93c-44da-99fc-ab9d6b2de0dd,"Bon-Hyeok Gu",NULL,LG雙子,KBO,2021,123,45,38,5,2,0,0,10,3,3,0,1,7,0.132,0.184,0.205,0.389,0,0,1,2
6cec7f7e-da90-4cdf-8750-26621a76027c,"Min-Chang Choi",NULL,LG雙子,KBO,2021,3,2,2,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0
71b65e31-80eb-4ff2-b4e9-154ca6c65e4e,"Young-Bin Lee",NULL,LG雙子,KBO,2021,72,169,148,36,9,0,2,21,16,15,0,3,51,0.243,0.345,0.323,0.668,6,3,2,1
7c600278-aa69-40cb-a064-65adad17ca63,"Hyun-Soo Kim",NULL,LG雙子,KBO,2021,140,595,506,144,23,1,17,70,96,77,5,3,42,0.285,0.435,0.377,0.811,3,0,0,9
803b7abb-1762-4df8-ae94-ae35ec000b17,"Jun-Won Jang",NULL,LG雙子,KBO,2021,5,3,3,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0
8456574a-e46d-4fab-b5c5-b6cf97a60442,"Ik-Hun An",NULL,LG雙子,KBO,2021,48,16,14,2,1,0,0,4,1,0,0,2,2,0.143,0.214,0.250,0.464,0,0,0,0
856bcade-d21a-494d-af5c-c114299705cf,"Ho-Young Son",NULL,LG雙子,KBO,2021,8,12,10,1,0,0,0,2,0,1,0,1,2,0.100,0.100,0.250,0.350,0,0,0,0
8b8545a0-ec4a-4502-8555-346ecc88b954,"Yong-Eui Kim",NULL,LG雙子,KBO,2021,102,41,27,4,2,0,0,19,2,9,0,0,5,0.148,0.222,0.351,0.574,6,0,4,1
93368af8-61ed-40ba-995a-7eaa8be24bb8,"Min-Jae Shin",NULL,LG雙子,KBO,2021,32,27,23,3,0,0,0,8,2,4,0,0,6,0.130,0.130,0.259,0.390,2,1,0,0
9bce2f03-e940-4bf7-83fa-9ddc967a8844,"Chang-Ki Hong",NULL,LG雙子,KBO,2021,144,651,524,172,26,2,4,103,52,109,4,16,95,0.328,0.408,0.456,0.865,23,8,0,2
9bff42c2-3c2c-401a-ae92-3a284a5a381e,"Sung-Woo Lee",NULL,LG雙子,KBO,2021,36,39,33,7,0,0,0,0,2,1,0,0,8,0.212,0.212,0.235,0.447,0,0,5,0
9f501377-5a46-4c2b-9d67-577668bd36e2,"Ho-Eun Kim",NULL,LG雙子,KBO,2021,7,9,9,0,0,0,0,0,0,0,0,0,4,0.000,0.000,0.000,0.000,0,0,0,0
ac311c42-4503-41c4-a1ca-8e00611f0c45,"Ji-Hwan Oh",NULL,LG雙子,KBO,2021,134,532,464,118,19,2,8,62,57,54,0,5,82,0.254,0.356,0.335,0.691,12,6,4,5
be392c80-e4fb-4646-8339-a50894ce1e6a,"Hyung-Jong Lee",NULL,LG雙子,KBO,2021,90,281,239,52,11,0,10,32,34,34,1,7,65,0.218,0.389,0.332,0.721,3,1,1,0
f31697a0-779a-45a7-ac48-aba552bd4a2f,"Min-Sung Kim",NULL,LG雙子,KBO,2021,121,426,360,80,22,0,8,35,39,42,2,8,73,0.222,0.350,0.313,0.663,3,3,11,5
fefbbe8d-b13f-4dcd-93ee-6ea9b2df0371,"Jae-Won Lee",NULL,LG雙子,KBO,2021,62,171,154,38,6,0,5,22,17,14,0,2,48,0.247,0.383,0.316,0.699,5,1,0,1
ffce7d21-6c76-450b-a364-c0364a34c1d3,"Eun-Seong Chae",NULL,LG雙子,KBO,2021,110,448,387,107,20,0,16,59,82,38,2,16,80,0.277,0.452,0.359,0.812,4,2,0,7
ffe4fe14-cb4c-4aed-9d60-a406913c064f,"Ju-Sung Kim",NULL,LG雙子,KBO,2021,3,7,6,1,0,0,1,1,1,1,0,0,3,0.167,0.667,0.286,0.952,0,0,0,0
0d987012-1711-4cbd-8a1b-cdd9df981797,"Jin-Ho Jung",NULL,韓華鷹,KBO,2021,47,167,145,33,9,0,0,9,15,15,1,1,22,0.228,0.290,0.301,0.590,4,1,4,2
248323e7-abe2-4df6-9772-a272456dd836,"Min-Kyu Jeong",NULL,韓華鷹,KBO,2021,6,17,16,2,1,0,0,1,0,1,0,0,6,0.125,0.188,0.177,0.364,0,0,0,0
25a1ec27-3e24-4f85-9613-3edef52d9f66,"Ho-Jung Song",NULL,韓華鷹,KBO,2021,10,11,10,0,0,0,0,1,0,1,0,0,8,0.000,0.000,0.091,0.091,0,0,0,0
29990c8a-4a84-4035-9c05-d02cd04c4734,"Soo-Kwang Ro",NULL,韓華鷹,KBO,2021,52,180,160,37,7,0,3,21,14,17,0,1,46,0.231,0.331,0.309,0.640,13,1,2,0
2c90f48f-03a9-498c-bc5a-ff791ffe5f90,"Jang-Hyeok Yoo",NULL,韓華鷹,KBO,2021,34,112,98,14,5,0,1,11,7,8,0,2,39,0.143,0.225,0.218,0.443,2,1,2,2
2d559a86-2e2e-467b-a25b-6fc061e62692,"Won-Seok Lee",NULL,韓華鷹,KBO,2021,43,130,114,20,1,1,1,12,9,8,0,2,43,0.175,0.228,0.238,0.466,4,2,4,2
359f56c7-c591-4591-a36e-38e4fb269e01,"Kyu-Hyun Chang",NULL,韓華鷹,KBO,2021,7,12,12,3,1,0,0,0,1,0,0,0,4,0.250,0.333,0.250,0.583,0,0,0,0
36e570fe-54ff-4a67-98a2-657ed2d82657,"Dong-Hun Lee",NULL,韓華鷹,KBO,2021,33,62,53,10,1,0,0,8,2,3,0,2,12,0.189,0.208,0.259,0.466,2,2,4,0
3f5a59d1-0105-43d2-9083-3e227247e723,"In-Ho Choi",NULL,韓華鷹,KBO,2021,49,164,136,28,6,0,4,17,23,24,0,2,43,0.206,0.338,0.329,0.668,2,1,0,2
4376ece7-914a-40f0-9d5d-c8260a1dd2ff,"Tae-Hyeong Noh",NULL,韓華鷹,KBO,2021,18,49,43,5,1,0,0,6,1,6,0,0,15,0.116,0.140,0.225,0.364,0,0,0,0
4f222e57-2178-4681-8ecb-a6b447ffaead,"Woon-Ho Jang",NULL,韓華鷹,KBO,2021,103,338,285,67,10,0,0,36,28,36,0,7,77,0.235,0.270,0.332,0.603,3,6,7,3
5147e2dc-3f12-4627-8fe7-194d40818d91,"Tae-Yean Kim",NULL,韓華鷹,KBO,2021,53,220,176,53,12,0,3,29,34,34,0,5,44,0.301,0.421,0.418,0.839,5,3,0,5
594750ca-6961-4ff0-aad1-6a0402f12773,"Do-Yun Lee",NULL,韓華鷹,KBO,2021,56,68,63,11,0,0,0,5,2,4,0,0,18,0.175,0.175,0.224,0.399,1,2,1,0
62dd01bd-111c-409e-ad2b-d57bf709d225,"Min-Ha Kim",NULL,韓華鷹,KBO,2021,46,142,115,24,4,1,1,14,17,17,0,8,36,0.209,0.287,0.345,0.632,6,3,0,2
74a7b13f-fc6b-470c-ba28-212b821cecf8,"Sung-Yul Lee",NULL,韓華鷹,KBO,2021,46,140,119,25,8,0,2,15,20,18,0,1,36,0.210,0.328,0.314,0.642,1,0,0,2
8360dec0-9e8c-4a49-ad55-888974f89801,"Han-Min Jo",NULL,韓華鷹,KBO,2021,52,145,127,25,6,2,5,15,18,13,0,2,57,0.197,0.394,0.278,0.672,3,2,1,2
8a23c52e-6148-4a6b-b808-e0bf65bdf9fc,"Gwan-Hoe Heo",NULL,韓華鷹,KBO,2021,28,79,63,12,0,0,0,4,2,13,0,1,22,0.191,0.191,0.329,0.520,0,0,0,2
26563978-8c5f-4fb4-8c24-1d62de4f8fd2,"Jeong-Beom Lee",NULL,SSG登陸者,KBO,2022,7,11,11,3,0,0,0,2,1,0,0,0,2,0.273,0.273,0.273,0.545,0,0,0,0
27a1717f-02b5-4743-beba-d9564e3e8e30,"Jae-Won Lee",NULL,SSG登陸者,KBO,2022,105,279,234,47,6,0,4,27,28,25,1,8,44,0.201,0.278,0.296,0.574,1,0,9,3
2b558e53-e320-4122-8e7d-c6630b29923c,"Kevin Cron","Kevin Cron",SSG登陸者,KBO,2022,67,259,243,54,13,1,11,21,35,9,0,3,68,0.222,0.420,0.255,0.675,0,0,0,4
329b10bb-dffb-4637-b598-8a85f7007bc7,"Jeung-Woo Seok",NULL,SSG登陸者,KBO,2022,9,9,9,2,0,0,0,1,0,0,0,0,3,0.222,0.222,0.222,0.444,0,1,0,0
339bac04-c510-4f10-a2dc-8faa235d81a0,"Joon-woo Choi",NULL,SSG登陸者,KBO,2022,10,16,12,3,0,0,0,0,1,3,0,0,3,0.250,0.250,0.375,0.625,0,0,0,1
35efe561-0b2f-445c-8c3a-9fb4c938948d,"Hyun-Seok Lee",NULL,SSG登陸者,KBO,2022,9,15,15,2,0,0,0,0,1,0,0,0,5,0.133,0.133,0.133,0.267,0,0,0,0
3c258a0c-6260-485f-bfcb-ef5f7a9242f9,"Kang-Min Kim",NULL,SSG登陸者,KBO,2022,84,202,178,54,11,0,5,24,18,18,2,3,39,0.303,0.449,0.375,0.824,1,3,2,1
3d11a1e8-a7f5-4ecc-ac9f-2caa5e15b69a,"Shin-Soo Choo",秋信守,SSG登陸者,KBO,2022,112,499,409,106,20,1,16,77,58,71,1,13,100,0.259,0.430,0.382,0.813,15,5,2,4
4e74b832-ebe8-4c53-89c4-8eaab5b1db2a,"Heung-Ryun Lee",NULL,SSG登陸者,KBO,2022,22,55,45,6,2,0,0,4,1,5,0,2,22,0.133,0.178,0.250,0.428,0,0,3,0
5557de6b-f56f-43bf-aa57-b3439fba1756,"Gyeong-Won Jun",NULL,SSG登陸者,KBO,2022,1,1,1,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0
65147f98-dcdc-4100-8544-a404dc1b9d34,"Kyung-mo Choi",NULL,SSG登陸者,KBO,2022,98,75,73,22,2,0,0,16,4,1,0,0,18,0.301,0.329,0.311,0.640,2,0,1,0
67e2a0a8-6838-4ab3-8430-dbd960a34d13,"Ji-Hoon Choi",NULL,SSG登陸者,KBO,2022,144,640,569,173,32,4,10,93,61,47,0,7,77,0.304,0.427,0.362,0.789,31,7,13,4
7e995db3-bfab-4415-998d-6c5135a2071a,"Sang-Hyun An",NULL,SSG登陸者,KBO,2022,46,47,38,6,0,0,2,12,5,5,0,1,12,0.158,0.316,0.273,0.589,2,0,3,0
861eb704-aa6b-4cb5-9ee2-f8a8b54d7461,"Hyeong-Woo Cho",NULL,SSG登陸者,KBO,2022,9,13,12,2,1,0,0,2,1,1,0,0,3,0.167,0.250,0.231,0.481,0,0,0,0
a37c1403-949a-426c-b425-54116dcca27f,"Jae-Hoon Ha",NULL,SSG登陸者,KBO,2022,60,114,107,23,6,1,6,18,13,4,0,1,40,0.215,0.458,0.246,0.704,1,0,0,2
a6c3d5db-aa31-4a03-9051-aa340b0d90d6,"Hang Choi",NULL,SSG登陸者,KBO,2022,15,24,20,2,0,0,0,0,1,2,0,1,7,0.100,0.100,0.208,0.308,0,0,0,1
a7c73a4d-08f9-4f1e-83f9-ffe326e90d37,"Joo-Hwan Choi",NULL,SSG登陸者,KBO,2022,97,333,298,63,14,2,9,36,41,29,2,4,55,0.211,0.362,0.288,0.651,0,0,0,2
