id,name_en,name_zh,team,league,year,g,pa,ab,h,2b,3b,hr,r,rbi,bb,ibb,hbp,so,avg,slg,obp,ops,sb,cs,sh,sf
57d7f595-f665-40e0-839f-fcfd273de233,Ming-Chueh Tsai,NULL,兄弟,CPBL,2013,71,172,155,30,6,0,0,14,10,7,0,2,28,0.194,0.232,0.232,0.464,1,0,4,4
68991a76-2f8c-4e49-9bea-b6229515ddc0,Wei-Ju Chen,NULL,兄弟,CPBL,2013,39,88,83,11,3,0,0,7,7,4,0,0,21,0.133,0.169,0.172,0.341,0,0,1,0
6955e7bc-c201-4e6c-87c2-5dbeabce2aeb,Hao-Jan Chen,NULL,兄弟,CPBL,2013,4,12,10,2,0,0,0,0,1,2,0,0,1,0.2,0.2,0.333,0.533,0,1,0,0
7a5236ea-cc4b-443f-94ad-f27e1b3925fe,Yen-Wei Shih,NULL,兄弟,CPBL,2013,4,6,6,2,0,0,0,3,0,0,0,0,1,0.333,0.333,0.333,0.667,0,0,0,0
889c3d8d-10ac-4b0c-910d-b63bfe47ebce,Hung-Kuei Chen,NULL,兄弟,CPBL,2013,4,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0
a656444a-39a1-47a7-b04d-2cd0d3d5702d,Cheng-Wei Chang,NULL,兄弟,CPBL,2013,98,434,402,124,15,3,0,50,32,22,1,5,40,0.309,0.361,0.351,0.712,16,7,4,1
a9aa81a7-b77b-468e-a5fb-f87049aed009,Yen-Wei Shih,NULL,兄弟,CPBL,2013,5,19,15,3,0,0,0,4,2,3,0,0,5,0.2,0.2,0.333,0.533,1,0,1,0
a9e999c7-98cd-4bd9-a472-933894f4e5ff,Sheng-Wei Wang,NULL,兄弟,CPBL,2013,117,486,430,107,20,2,2,59,44,23,0,9,87,0.249,0.319,0.298,0.616,29,6,19,5
ac0d7caf-f3ed-4d90-a7b0-4314e4e1a39b,Cheng-Min Peng,NULL,兄弟,CPBL,2013,116,477,403,128,25,0,10,60,74,68,8,4,63,0.318,0.454,0.419,0.873,15,6,0,2
b9ba6a01-4c4e-4458-832a-3c668810c074,Chiang-Ho Chen,NULL,兄弟,CPBL,2013,71,251,226,61,8,0,0,15,22,13,0,2,21,0.27,0.305,0.313,0.618,0,0,8,2
bb1fc31e-0232-4430-b411-32f9e55cd8f9,Chun-Chieh Wang,NULL,兄弟,CPBL,2013,72,186,170,42,5,1,1,12,14,9,0,1,32,0.247,0.306,0.287,0.593,1,1,5,1
c6822d14-382b-459c-bd50-158af0be1f95,Nai-Wen Cheng,NULL,兄弟,CPBL,2013,20,38,32,6,0,0,1,3,4,4,0,1,6,0.188,0.281,0.29,0.571,0,0,0,1
d4661413-938e-4c36-a8b2-6c81ef9940a8,Chun-Sheng Huang,NULL,兄弟,CPBL,2013,20,30,26,6,1,0,0,3,2,4,1,0,5,0.231,0.269,0.333,0.603,0,0,0,0
d47eb372-3026-440e-a246-2343121fbce1,Szu-Chi Chou,NULL,兄弟,CPBL,2013,105,445,399,126,24,3,8,49,54,36,2,4,57,0.316,0.451,0.373,0.824,6,0,0,6
d59c2690-2d41-4d72-80cb-3a0fd9edf07d,Chan-Hsu Yang,NULL,兄弟,CPBL,2013,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dd34c401-538d-4936-a341-44f38bed7025,Chih-Hung Chen,NULL,兄弟,CPBL,2013,89,253,214,42,5,0,3,14,31,15,0,3,55,0.196,0.262,0.254,0.516,0,1,17,4
e7f6c561-8362-4a34-beef-f30882f7bb02,Fu-Chih Chien,NULL,兄弟,CPBL,2013,74,175,162,45,4,0,2,26,13,6,0,2,29,0.278,0.34,0.312,0.651,8,3,5,0
ea0243dc-555d-41b1-8183-40d9ddb725ca,Wei-Ming Chu,NULL,兄弟,CPBL,2013,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ed10d215-1bfa-4522-bc8f-dbe02d9d66ca,Chih-Hao Chang,NULL,兄弟,CPBL,2013,103,438,382,103,19,5,3,60,30,33,0,7,71,0.27,0.369,0.336,0.705,13,6,12,4
f5795d3d-14ef-4c27-a2c5-e4e4cae79b2d,Tzu-Hao Chen,NULL,兄弟,CPBL,2013,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0aed90f2-19d7-4eeb-8352-ade41f11deb7,Yu-Ju Li,NULL,統一7-ELEVEn獅,CPBL,2013,30,49,46,9,1,1,0,8,4,2,0,0,9,0.196,0.261,0.225,0.485,0,2,0,1
284f333c-1bd1-493e-85ba-e37d2d9fb3f8,Chao-Ting Tang,NULL,統一7-ELEVEn獅,CPBL,2013,111,384,349,89,10,5,3,47,36,24,0,1,54,0.255,0.338,0.303,0.641,14,4,8,2
35ce746c-88ca-4a00-b9ae-9391682ba9f6,Fu-Hao Liu,NULL,統一7-ELEVEn獅,CPBL,2013,68,253,211,56,8,4,1,36,27,35,1,3,34,0.265,0.356,0.373,0.729,5,2,1,3
36a13bd8-b7b1-485d-b7b7-2ad9ae4fa621,Wu-Hsiung Pan,NULL,統一7-ELEVEn獅,CPBL,2013,74,288,253,76,13,1,2,32,43,34,1,1,36,0.3,0.383,0.385,0.769,4,1,0,0
3bd69f31-5a39-4b5d-9c20-e3d92b0e7a19,Shao-Wen Lan,NULL,統一7-ELEVEn獅,CPBL,2013,9,12,12,2,0,0,0,1,0,0,0,0,3,0.167,0.167,0.167,0.333,0,0,0,0
57809b03-dc3f-464a-bbb4-419e1cb9103a,Dai-Chi Kuo,NULL,統一7-ELEVEn獅,CPBL,2013,42,128,106,26,4,0,3,13,15,20,1,0,25,0.245,0.368,0.362,0.73,1,1,1,1
6ca3c87b-988b-453f-b20a-05fa8706d02b,Yung-Chi Chen,NULL,統一7-ELEVEn獅,CPBL,2013,101,433,385,121,17,2,9,71,51,40,0,2,46,0.314,0.439,0.376,0.815,18,2,0,6
70109952-6bca-46e5-9ef5-76e29969ce4b,Yuan-Chin Chu,NULL,統一7-ELEVEn獅,CPBL,2013,11,27,21,6,1,1,0,6,2,5,0,1,7,0.286,0.429,0.444,0.873,2,0,0,0
7a87ca7f-df15-41ab-b61e-ff351cb38cd3,Chuang-Hsun Tu,NULL,統一7-ELEVEn獅,CPBL,2013,10,13,12,2,0,0,0,1,2,1,0,0,3,0.167,0.167,0.231,0.398,0,0,0,0
867746c2-0b4a-4ccf-a5ce-d20fef0a546a,Chih-Wei Teng,NULL,統一7-ELEVEn獅,CPBL,2013,106,398,370,114,29,2,10,52,59,25,0,3,72,0.308,0.478,0.357,0.835,1,1,0,0
98941138-ab81-4cb6-a74e-89802766dbcc,En-Tzu Huang,NULL,統一7-ELEVEn獅,CPBL,2013,48,114,102,24,5,0,1,16,8,8,0,1,24,0.235,0.314,0.295,0.608,8,1,2,1
9961421f-5b10-4267-8da1-07138d6126af,Sung-Hsien Yang,NULL,統一7-ELEVEn獅,CPBL,2013,46,89,77,22,3,1,0,13,5,6,0,1,8,0.286,0.351,0.341,0.692,3,0,4,1
9aeb9e54-b604-4401-a63d-2adcb050b9a4,Chun-Hui Chen,NULL,統一7-ELEVEn獅,CPBL,2013,51,138,129,36,6,0,4,20,17,3,0,5,27,0.279,0.419,0.319,0.737,1,0,0,1
9dddc444-5b1e-473d-9ac4-cf2e84cb20db,Yu-Chen Liu,NULL,統一7-ELEVEn獅,CPBL,2013,65,191,169,43,7,0,2,22,16,15,0,3,33,0.254,0.331,0.325,0.656,0,1,3,1
a5781b15-fa97-4f5f-980d-12d3b203ff1e,Mike Cervenak,NULL,統一7-ELEVEn獅,CPBL,2013,20,90,77,20,2,1,2,10,13,11,1,1,11,0.26,0.39,0.356,0.745,0,0,0,1
a845504c-5ad6-4799-9492-af995e10cfed,Kuo-Ching Kao,NULL,統一7-ELEVEn獅,CPBL,2013,112,447,418,123,19,0,6,53,46,24,0,1,64,0.294,0.383,0.331,0.714,3,0,0,4
c5067a5e-90ef-41df-9d01-1e6d04f1373d,Chih-Hsiang Lin,NULL,統一7-ELEVEn獅,CPBL,2013,99,388,351,108,10,3,1,48,50,24,0,2,38,0.308,0.362,0.352,0.714,23,7,7,4
d49be3d4-fa03-4e02-b375-a9afb21edd76,Kuo-Chen Lo,NULL,統一7-ELEVEn獅,CPBL,2013,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d84255d6-6863-4d44-9a85-0c90f47d1c75,Chun-Yu Kuo,NULL,統一7-ELEVEn獅,CPBL,2013,74,230,210,54,8,0,9,31,27,17,0,3,50,0.257,0.424,0.322,0.746,1,3,0,0
df64033b-2c0e-44bc-8d46-ed40c4d4f269,Kuang-Sheng Chou,NULL,統一7-ELEVEn獅,CPBL,2013,57,152,135,35,2,3,0,12,15,7,0,1,24,0.259,0.319,0.297,0.615,0,0,7,2
